Name,Handle,Timestamp,Content
İbrahim Yumaklı,@ibrahimyumakli,2024-01-25T14:59:03.000Z,"AK Parti Genel Başkan Vekilimiz Sayın ’ı ziyaret ettik.

Kıymetli Başkanımıza nazik misafirperverlikleri için teşekkür ediyor, #TürkiyeYüzyılı vizyonumuza yönelik çalışmalarında başarılar diliyorum. AK Parti Genel Merkezi"
İbrahim Yumaklı,@ibrahimyumakli,2024-01-25T13:51:27.000Z,"Malatya’nın Battalgazi ilçesinde meydana gelen ve çevre illerden de hissedilen depremden etkilenen tüm vatandaşlarımıza geçmiş olsun dileklerimi iletiyorum.

Rabb'im, ülkemizi ve milletimizi her türlü afetten muhafaza eylesin."
İbrahim Yumaklı,@ibrahimyumakli,2024-01-26T12:28:20.000Z,"Tecrübe ve bilgi birikimiyle ülkemizin su politikalarının hayata geçirilmesinde öncü kurumumuz olan  teşkilatımızın kıymetli üyeleriyle İstanbul’da bir araya geldik.

Hem bugünümüz hem de geleceğimiz için büyük öneme sahip suyumuzu etkin kullanarak ve koruyarak,…"
İbrahim Yumaklı,@ibrahimyumakli,2024-01-26T10:52:18.000Z,"Kastamonu-Taşköprü karayolunda yolcu otobüsünün devrilmesi sonucu hayatını kaybeden vatandaşlarımıza Allah’tan rahmet, ailelerine ve sevenlerine başsağlığı diliyorum.

Yaralanan vatandaşlarımızın en kısa sürede sağlıklarına kavuşmalarını temenni ediyorum."
Prof. Dr. Vedat Işıkhan,@isikhanvedat,2024-01-23T19:54:30.000Z,"𝟐𝟎𝟐𝟒 𝐄𝐌𝐄𝐊𝐋𝐈̇𝐋𝐄𝐑 𝐘𝐈𝐋𝐈

Sayın Cumhurbaşkanımız ve Hükümetlerimiz kıymetli emeklilerimizi sadece seçim dönemlerinde hatırlamadı. Emeklilerimizin her daim yanında olduk, başımızın tacı yaptık. Bu yüzden 2024 yılını Emekliler Yılı olarak kutlamaya karar verdik."
Prof. Dr. Vedat Işıkhan,@isikhanvedat,2024-01-26T19:36:07.000Z,"Türkiye Yüzyılı’nın Emektarları Çalıştayı

Gerçekleştirdiğimiz çalıştayda; emeklilerimizin hayatlarına olumlu noktada etki edecek birçok konu başlığını ele alarak, önerileri değerlendirdik.

Emeklilerimizin refahını ve yaşam kalitelerini artırmak adına ilgili kurumlarımızın,…"
Prof. Dr. Vedat Işıkhan,@isikhanvedat,2024-01-26T15:33:51.000Z,"Türkiye Yüzyılı’nın Emektarları Çalıştayı

Cumhurbaşkanımız Sayın Recep Tayyip Erdoğan’ın tensipleriyle ilan ettiğimiz 2024 Emekliler Yılı kapsamında emeklerimizi temsil eden sivil toplum kuruluşları, bakanlıklarımızın bürokratları, üniversitelerimizin temsilcileri ve sosyal…"
Prof. Dr. Vedat Işıkhan,@isikhanvedat,2024-01-26T14:54:11.000Z,"Uluslararası Adalet Divanı’nın aldığı ara kararla İsrail’in Filistin’e karşı işlediği soykırım suçlarından yargılanmasının önü açıldı.

Geç alınmasına rağmen nihayetini beklediğimiz bu kararın; insani değerlerin korunması ve yaşatılması adına önemli olduğuna inanıyorum.…"
Prof. Dr. Vedat Işıkhan,@isikhanvedat,2024-01-26T11:49:34.000Z,Canlı Yayın 2024 Emekliler Yılı / Türkiye Yüzyılı’nın Emektarları Çalıştayı
Prof. Dr. Vedat Işıkhan,@isikhanvedat,2024-01-26T08:09:55.000Z,"Kastamonu’nun Taşköprü ilçesinde yolcu otobüsünün devrilmesi sonucu yaşanan elim trafik kazasında hayatını kaybeden vatandaşlarımıza Allah’tan rahmet, ailelerine başsağlığı, yaralılarımıza acil şifalar diliyorum."
Mahinur Özdemir Göktaş,@MahinurOzdemir,2024-01-26T14:50:12.000Z,"Kadına Yönelik Şiddetle Mücadele Veri ve İstatistik İstişare Toplantımızı gerçekleştirdik.

Kadına yönelik şiddet meselesini ülkemizin gündeminden sonsuza kadar çıkarmakta kararlıyız!

Devletimizin tüm kurumları, akademi dünyası, sivil toplum kuruluşları, medya camiası ve diğer…"
Mahinur Özdemir Göktaş,@MahinurOzdemir,2024-01-26T13:10:36.000Z,"Uluslararası Adalet Divanı’nın İsrail’in soykırım suçuyla yargılanmasına yönelik ara kararı umut vericidir.

İsrail ihtiyati tedbir kararına acilen uymalı, durmaksızın gerçekleştirdiği insanlık suçuna bir an önce son vermeli ve insani yardımların önünü açmalıdır.

Yitirilen…"
Mahinur Özdemir Göktaş,@MahinurOzdemir,2024-01-26T08:16:48.000Z,"Kastamonu'nun Taşköprü ilçesinde meydana gelen otobüs kazasında hayatını kaybeden vatandaşlarımıza Allah’tan rahmet, yakınlarına baş sağlığı diliyorum.

Yaralı olan vatandaşlarımıza geçmiş olsun dileklerimi iletiyorum. Can kaybımızın artmaması en büyük temennimiz."
Mahinur Özdemir Göktaş,@MahinurOzdemir,2024-01-25T15:25:55.000Z,"Türkiye Harp Malulü Gaziler Şehit Dul ve Yetimleri Derneği Başkanı Sn. Mustafa Işık, Türkiye Muharip Gaziler Derneği
Başkanı Sn. Beyazıt Yumuk ve beraberlerindeki heyeti Bakanlığımızda misafir ettik.

Aziz şehitlerimizin kıymetli emanetlerinin ve kahraman gazilerimizin…"
Mahinur Özdemir Göktaş,@MahinurOzdemir,2024-01-26T14:50:12.000Z,"Kadına Yönelik Şiddetle Mücadele Veri ve İstatistik İstişare Toplantımızı gerçekleştirdik.

Kadına yönelik şiddet meselesini ülkemizin gündeminden sonsuza kadar çıkarmakta kararlıyız!

Devletimizin tüm kurumları, akademi dünyası, sivil toplum kuruluşları, medya camiası ve diğer…"
Mahinur Özdemir Göktaş,@MahinurOzdemir,2024-01-25T13:27:46.000Z,"Malatya’da meydana gelen depremden etkilenen tüm vatandaşlarımıza geçmiş olsun. Bakanlık olarak ASYA ve PSD ekiplerimizle vatandaşlarımızın yanındayız.

Rabbim, ülkemizi ve milletimizi her türlü afetten korusun."
Mahinur Özdemir Göktaş,@MahinurOzdemir,2024-01-25T09:18:29.000Z,"Ulaştırma ve Altyapı Bakanımız Sayın Abdulkadir Uraloğlu'nu ziyaret ederek, Bakanlıklarımız arası hizmet modellerimizin geliştirilmesi ve muhtemel yeni iş birliği alanlarımıza yönelik değerlendirmelerde bulunduk.

Milletimize hizmet etmek için omuz omuza çalışmaya devam edeceğiz.…"
Mehmet Nuri Ersoy,@MehmetNuriErsoy,2024-01-26T10:06:59.000Z,"Dostumuz ve komşumuz Gürcistan ile ülkelerimiz arasındaki yakın ilişkileri daha da güçlendirmek üzere yeni bir adım daha attık. 

Gürcistan'ın Başbakan Yardımcısı ve aynı zamanda Kültür ve Spor Bakanı olan Sayın Thea Tsulukiani ile bugün 'da 2024-2028 yılları için…"
Mehmet Nuri Ersoy,@MehmetNuriErsoy,2024-01-25T13:26:45.000Z,"Geçmiş olsun Malatya...

Malatya'da meydana gelen ve çevre illerde de hissedilen 5.2 şiddetindeki depremden etkilenen tüm hemşehrilerime ve vatandaşlarımıza geçmiş olsun dileklerimi iletiyorum."
